Band,Genre simple,Genre specific,Country,Day,Time,Stage
3 Inches of Blood,Heavy metal,Power/heavy metal,Canada,Wed,15:30,Obscure
Abbie Falls,Metalcore,,Czech Republic,Fri,13:50,Main
Agnostic Front,Hardcore,,USA,Sat,19:50,Main
Aluk Todolo,Rock,Occult rock,France,Sat,21:00,Octagon
Angelmaker,Deathcore,Melodic deathcore,Canada,Fri,11:05,Main
Arthur Brown,Rock,,UK,Sat,20:25,Obscure
Asphyx,Death metal,,Netherlands,Fri,17:50,Main
Attila,Metalcore,,USA,Sat,15:20,Main
August Burns Red,Metalcore,,USA,Thu,17:55,Obscure
Avulsed,Death metal,,Spain,Fri,13:05,Main
Benighted,Grindcore,Brutal death metal/grindcore,France,Sat,13:05,Main
Besna,Black metal,Post-black/progressive metal,Slovakia,Sat,10:30,Main
Between the Buried and Me,Metalcore,Progressive metalcore,USA,Wed,23:15,Obscure
Blood Fire Death,Black metal,,International,Thu,23:15,Main
Blood Red Throne,Death metal,,Norway,Wed,12:35,Main
Bohren & Der Club of Gore,Jazz,,Germany,Sat,23:20,Obscure
Born From Pain,Metalcore,Metalcore/Hardcore,Netherlands,Sat,11:45,Main
Brujeria,Grindcore,Death/Groove Metal/Grindcore,USA,Sat,16:05,Main
Brutally Deceased,Death metal,,Czech Republic,Wed,12:00,Main
Car Bomb,Mathcore,,USA,Thu,13:00,Main
Carnivore A.D.,Thrash metal,,USA,Warm-up,20:10,
Crypta,Death metal,,Brazil,Sat,11:05,Main
Crypt Sermon,Doom metal,Epic doom metal,USA,Thu,18:30,Octagon
Crystal Lake,Metalcore,,Japan,Wed,14:00,Main
Cult of Luna,Post-metal,,Sweden,Fri,00:30,Main
Cuttered Flesh,Death metal,Brutal death metal,Czech Republic,Warm-up,17:10,
Dark Angel,Thrash metal,,USA,Wed,18:05,Main
Dark Funeral,Black metal,,Sweden,Sat,00:35,Main
Defeated Sanity,Death metal,Technical brutal death metal,Germany,Sat,21:50,Obscure
Dimmu Borgir,Black metal,Symphonic black metal,Norway,Fri,23:05,Main
Dope,Nu metal,Industrial metal/nu metal,USA,Wed,15:35,Main
Drowning Pool,Nu metal,,USA,Thu,20:35,Obscure
Dying Fetus,Death metal,Brutal death metal/grindcore,USA,Wed,20:05,Main
envy,Post-metal,Post-rock/screamo,Japan,Sat,19:05,Obscure
Exhorder,Thrash metal,,USA,Sat,13:50,Main
Faüst,Thrash metal,,Czech Republic,Warm-up,15:30,
Fear Factory,Industrial metal,Groove/industrial metal,USA,Thu,00:30,Main
Fit For a King,Metalcore,,USA,Thu,19:20,Obscure
Five the Hierophant,Avant-garde metal,Avant-garde post-black/doom metal,UK,Fri,19:45,Octagon
Fleshgod Apocalypse,Death metal,Symphonic death metal,Italy,Wed,17:50,Obscure
Frayle,Doom metal,Atmospheric doom/post-metal,USA,Wed,19:45,Octagon
Fulci,Death metal,Brutal death metal,Italy,Thu,11:05,Main
Funeral,Doom metal,Funeral doom metal,Norway,Warm-up,18:10,
Furia,Black metal,Black metal/experimental,Poland,Thu,02:10,Obscure
Gadget,Grindcore,,Sweden,Sat,18:30,Octagon
Gaerea,Black metal,,Portugal,Fri,20:30,Obscure
Gojira,Progressive metal,Progressive/groove/death metal,France,Thu,21:50,Main
Gost,Synthwave,,USA,Sat,00:45,Obscure
Graphic Nature,Metalcore,Nu metal/metalcore,UK,Fri,10:30,Main
Grave,Death metal,,Sweden,Fri,19:45,Main
Green Lung,Stoner metal,Stoner/doom metal/rock,UK,Thu,14:20,Main
Gutalax,Grindcore,,Czech Republic,Thu,11:40,Main
Gutslit,Death metal,Brutal death metal,India,Thu,15:55,Main
Hällas,Rock,,Sweden,Fri,19:10,Obscure
Hanabie.,Metalcore,Harajuku-core,Japan,Sat,14:35,Main
Harakiri for the Sky,Black metal,Post-black metal,Austria,Sat,17:50,Main
Hellbutcher,Black metal,,Sweden,Sat,02:00,Obscure
Hellripper,Speed metal,Black/speed metal,UK,Fri,01:50,Obscure
Hentai Corporation,Rock,,Czech Republic,Fri,16:55,
Heriot,Hardcore,,UK,Wed,02:00,Obscure
Hideous Divinity,Death metal,Technical/brutal death metal,Italy,Sat,14:30,Obscure
High Parasite,Gothic metal,,UK,Thu,13:40,Main
Ill Niño,Nu metal,,USA,Wed,20:25,Obscure
Inter Arma,Sludge,Sludge/black/death/post-metal,USA,Wed,18:30,Octagon
Karnivool,Progressive metal,,Australia,Sat,21:00,Main
Kataklysm,Death metal,,Canada,Sat,18:45,Main
Kerry King,Thrash metal,,USA,Wed,23:30,Main
King Woman,Doom metal,Doom/post-metal/shoegaze,USA,Sat,16:35,Obscure
Klidas,Rock,Post-rock/jazz/electronica/psychedelic,Italy,Sat,19:45,Octagon
Kublai Khan TX,Hardcore,Beatdown/hardcore,USA,Thu,16:45,Main
Landmvrks,Metalcore,,France,Thu,18:35,Main
Leprous,Progressive metal,,Norway,Thu,19:40,Main
Macabre,Grindcore,Thrash/Death Metal/Grindcore,USA,Warm-up,21:10,
Malevolent Creation,Death metal,,USA,Sat,17:45,Obscure
Malignancy,Death metal,Technical/brutal death metal,USA,Fri,18:30,Octagon
Mammoth Grinder,Death metal,Death metal/Hardcore,USA,Thu,10:30,Main
Mantar,Sludge,Sludge/black metal,Germany,Fri,16:40,Obscure
Marked as an Enemy,Metalcore,Metalcore/hardcore,Czech Republic,Warm-up,14:40,
Mastodon,Progressive metal,Progressive/sludge metal,USA,Wed,21:10,Main
Mayhem,Black metal,,Norway,Fri,21:50,Main
Ministry,Industrial metal,,USA,Wed,22:20,Main
Mnemic,Groove metal,Industrial/groove/nu metal,Denmark,Fri,14:35,Main
Monolord,Stoner metal,Stoner/doom metal,Sweden,Fri,14:30,Obscure
Ne Obliviscaris,Progressive metal,Extreme progressive metal,Australia,Wed,14:45,Main
Nile,Death metal,Brutal/technical death metal,USA,Thu,15:05,Main
Obituary,Death metal,,USA,Thu,20:45,Main
Obscure Sphinx,Sludge,Sludge/doom metal/post-rock,Poland,Fri,22:00,Obscure
Opeth,Progressive metal,"Progressive death metal, prog rock",Sweden,Sat,22:10,Main
Orange Goblin,Stoner metal,,UK,Wed,00:45,Obscure
Oranssi Pazuzu,Black metal,Psychedelic black metal,Finland,Wed,21:55,Obscure
Overkill,Thrash metal,,USA,Fri,18:45,Main
Pan Lynx,Rock,Grunge/rock/alternative metal,Czech Republic,Warm-up,19:10,
Paradise Lost,Gothic metal,Gothic/doom metal,UK,Fri,20:45,Main
Patriarchy,Industrial,,USA,Thu,22:30,Octagon
Pelican,Post-metal,Post-metal/rock,USA,Fri,17:55,Obscure
Pig Destroyer,Grindcore,,USA,Fri,16:05,Main
Priest,Synthwave,,Sweden,Sat,22:30,Octagon
Prong,Groove metal,Thrash/groove metal,USA,Fri,15:20,Main
Proscriptor McGovern's Apsû,Thrash metal,Black/thrash metal,USA,Thu,00:55,Obscure
Protector,Thrash metal,Thrash/death metal,Germany,Sat,15:30,Obscure
Psycroptic,Death metal,Technical death metal,Australia,Thu,12:20,Main
Pyrexia,Death metal,Brutal death metal,USA,Fri,11:45,Main
Pyrrhon,Death metal,Experimental death metal,USA,Fri,21:00,Octagon
Replicant,Death metal,Technical/avant-garde death metal,USA,Fri,22:30,Octagon
Rezn,Stoner metal,Psychedelic doom/stoner metal,USA,Thu,16:40,Obscure
Rivers of Nihil,Death metal,Progressive/technical death metal,USA,Wed,16:40,Obscure
Rotting Christ,Black metal,,Greece,Wed,00:35,Main
Ruïm,Black metal,,International,Wed,22:30,Octagon
See You in Hell,Hardcore,,Czech Republic,Warm-up,16:15,
Sigh,Black metal,Avant-garde/black metal,Japan,Wed,19:05,Obscure
Skálmöld,Viking metal,,Iceland,Wed,16:20,Main
Sleepytime Gorilla Museum,Avant-garde metal,,USA,Wed,14:30,Obscure
Slow Crush,Post-metal,Shoegaze/grunge/slowcore,Belgium,Thu,15:35,Obscure
Static X,Industrial metal,,USA,Wed,19:05,Main
Suffocation,Death metal,Brutal/technical death metal,USA,Thu,17:35,Main
Sylvaine,Black metal,Black metal/shoegaze/folk,Norway,Fri,15:35,Obscure
The Browning,Rave metal,Rave metal/deathcore/metalcore,USA,Fri,23:25,Obscure
The Halo Effect,Death metal,Melodic death metal,Sweden,Sat,23:30,Main
The Kovenant,Industrial metal,Electronic/industrial/gothic metal/rock,Norway,Thu,22:05,Obscure
Thrown,Hardcore,Hardcore/nu metal,Sweden,Wed,17:10,Main
To The Grave,Deathcore,,Australia,Sat,12:25,Main
Tsjuder,Black metal,,Norway,Fri,00:35,Obscure
Unleashed,Death metal,,Sweden,Sat,16:55,Main
Warbringer,Thrash metal,,USA,Wed,13:15,Main
Wayfarer,Black metal,Atmospheric black/folk metal,USA,Thu,21:00,Octagon
Within Destruction,Metalcore,Nu-deathcore/metalcore,Slovenia,Fri,12:25,Main
XIII. století,Gothic rock,,Czech Republic,Thu,19:45,Octagon
Zeke,Hardcore,,USA,Thu,14:30,Obscure
Zemial,Black metal,Progressive black/heavy/thrash metal,Greece,Wed,21:00,Octagon